protein_id,gene,temporal_class,functional_category,length,mw_kda,isoelectric_point,instability_index,aromaticity,KMeans_k4_cluster,Hierarchical_Ward_k4,Hierarchical_Average_k4
YP_009137073.1,RL1,Late,Neurovirulence/Host Defense,248,26.19534809999999,11.7960542678833,81.57862903225805,0.0282258064516129,2,0,2
YP_009137074.1,RL2,Immediate-Early,Regulatory/Transactivator,775,78.4557141000006,6.951374626159668,58.35187096774227,0.0296774193548387,2,0,0
YP_009137075.1,UL1,Late,Glycoprotein/Entry,224,24.933226,9.318018531799318,54.26875,0.0803571428571428,1,3,0
YP_009137076.1,UL2,Early,DNA Replication/Repair,334,36.46902460000005,9.83840732574463,62.01077844311376,0.0658682634730538,1,1,0
YP_009137077.1,UL3,Late,Nuclear Egress,224,24.4473409,9.732098960876463,53.56696428571427,0.0669642857142857,1,1,0
YP_009137078.1,UL4,Late,Tegument,199,21.517155699999996,5.704213523864747,40.45075376884421,0.0804020100502512,1,3,0
YP_009137079.1,UL5,Early,DNA Replication/Replication Fork,882,98.71428530000064,6.293974876403809,42.84174603174621,0.0997732426303854,0,2,0
YP_009137080.1,UL6,Late,Capsid Portal,676,74.08864290000037,9.20042819976807,46.31671597633148,0.0724852071005917,1,1,0
YP_009137081.1,UL7,Late,Tegument,296,33.032651800000046,7.014352226257324,55.64935810810808,0.1081081081081081,1,1,0
YP_009137082.1,UL8,Early,DNA Replication/Replication Fork,750,79.92487820000048,5.88859920501709,43.24348000000015,0.0893333333333333,3,1,0
YP_009137083.1,UL9,Early,DNA Replication/Origin Binding,851,94.2346104000006,8.233982658386232,42.34242068155127,0.0846063454759107,0,2,0
YP_009137084.1,UL10,Late,Glycoprotein/Entry,473,51.3919172000001,8.99541873931885,37.33215644820297,0.095137420718816,3,1,0
YP_009137085.1,UL11,Late,Tegument/Secondary Envelopment,96,10.486516399999989,5.261665153503418,72.83343749999999,0.0520833333333333,2,0,0
YP_009137086.1,UL12,Early,DNA Recombination/Processing,626,67.50745550000038,6.559242439270019,53.360894568690256,0.0638977635782747,1,1,0
YP_009137087.1,UL13,Early,Protein Kinase,518,57.19612970000006,10.20432987213135,54.15926640926656,0.0694980694980695,1,3,0
YP_009137088.1,UL14,Late,Tegument,219,23.93348749999997,5.828122520446779,47.84657534246573,0.0502283105022831,2,0,0
YP_009137089.1,UL15,Late,DNA Packaging/Terminase,735,80.92156330000037,8.54852390289307,33.352938775510246,0.0952380952380952,0,2,0
YP_009137090.1,UL16,Late,Tegument,373,40.44232920000008,8.055469703674316,53.08471849865948,0.0697050938337801,1,1,0
YP_009137091.1,UL17,Late,Capsid Vertex/Packaging,703,74.6084183000004,8.945520210266114,52.844238975818094,0.0668563300142247,3,1,0
YP_009137092.1,UL18,Late,Capsid/Triplex,318,34.27032230000003,5.83767147064209,50.11698113207545,0.050314465408805,1,1,0
YP_009137093.1,UL19,Late,Capsid/Major,1374,149.06802969999987,6.026774787902832,35.59943959243109,0.0800582241630276,0,2,0
YP_009137094.1,UL20,Late,Envelope/Egress,222,24.230900599999988,5.566776847839355,35.46171171171171,0.1351351351351351,0,1,0
YP_009137095.1,UL21,Late,Tegument,535,57.64085130000015,7.690452003479005,46.95050467289728,0.0747663551401869,1,1,0
YP_009137096.1,UL22,Late,Glycoprotein/Entry,838,90.36508590000057,6.609772300720215,42.65096658711233,0.0859188544152744,0,2,0
YP_009137097.1,UL23,Early,Nucleotide Metabolism,376,40.92052920000005,8.66953105926514,52.52260638297873,0.0638297872340425,1,1,0
YP_009137098.1,UL24,Late,Pathogenicity/Egress,269,29.44603310000001,10.866678047180176,60.63163568773233,0.0408921933085501,1,3,0
YP_009137099.1,UL25,Late,Capsid Vertex/Packaging,580,62.669303000000205,5.778217887878417,37.85775862068967,0.0741379310344827,0,2,0
YP_009137100.1,UL26,Late,Capsid Scaffolding/Protease,635,66.45599790000023,6.208375358581542,51.578425196850624,0.0614173228346456,2,0,0
YP_009137101.1,UL26.5,Late,Capsid Scaffolding,329,33.745972300000055,6.134029960632325,59.81155015197568,0.0668693009118541,2,0,0
YP_009137102.1,UL27,Late,Glycoprotein/Entry & Fusion,904,100.2632444000006,8.296452522277832,40.29051991150458,0.0951327433628318,0,2,0
YP_009137103.1,UL28,Late,DNA Packaging/Terminase,785,85.5770750000006,6.14164638519287,41.35886624203837,0.0700636942675159,0,2,0
YP_009137104.1,UL29,Early,DNA Replication/SSB,1196,128.34641870000067,6.025638008117675,35.0945819397995,0.0819397993311036,0,2,0
YP_009137105.1,UL30,Early,DNA Replication/Polymerase,1235,136.5045600000007,7.0369173049926745,42.28837246963591,0.0947368421052631,0,2,0
YP_009137106.1,UL31,Late,Nuclear Egress,306,33.95271720000003,8.973435020446779,58.81571895424834,0.0947712418300653,1,3,0
YP_009137107.1,UL32,Late,DNA Packaging,596,63.94921640000028,6.444314002990722,39.38489932885909,0.0805369127516778,0,2,0
YP_009137108.1,UL33,Late,DNA Packaging/Terminase,130,14.522274899999976,6.828716087341309,33.30615384615384,0.0615384615384615,0,0,0
YP_009137109.1,UL34,Late,Nuclear Egress,275,29.789950599999997,10.522094535827636,42.2912727272727,0.0799999999999999,3,1,0
YP_009137110.1,UL35,Late,Capsid/Small Capsid,112,12.09555299999998,11.129709053039551,43.64017857142856,0.0803571428571428,3,3,0
YP_009137111.1,UL36,Late,Tegument/Large Tegument,3139,333.4381327000056,5.843696403503418,54.21472443453355,0.0528830837846447,0,2,0
YP_009137112.1,UL37,Late,Tegument/Inner Tegument,1123,120.51072560000064,5.769692039489747,46.41487088156749,0.0578806767586821,0,2,0
YP_009137113.1,UL38,Late,Capsid/Triplex,465,50.26280740000005,9.116232490539552,41.75870967741936,0.0602150537634408,3,1,0
YP_009137114.1,UL39,Early,Nucleotide Metabolism,1137,124.02213940000053,6.113113212585449,48.68373790677243,0.0782761653474054,0,2,0
YP_009137115.1,UL40,Early,Nucleotide Metabolism,340,37.96072110000011,5.132640647888183,57.39417647058825,0.1029411764705882,0,3,0
YP_009137116.1,UL41,Late,Host Shutoff,489,54.9761388000001,7.973917198181152,56.328036809816055,0.0838445807770961,1,3,0
YP_009137117.1,UL42,Early,DNA Replication/Processivity,488,51.15861170000021,5.523408699035644,45.24200819672134,0.0614754098360655,1,3,0
YP_009137118.1,UL43,Late,Envelope/Membrane,417,42.92126639999999,9.294294166564942,47.58369304556355,0.0743405275779376,3,1,0
YP_009137119.1,UL44,Late,Glycoprotein/Attachment,511,55.02152890000011,7.664192390441895,46.62446183953039,0.0743639921722113,1,3,0
YP_009137120.1,UL45,Late,Envelope,172,18.17978129999998,8.637554740905763,47.91744186046512,0.0813953488372093,3,1,0
YP_009137121.1,UL46,Late,Tegument,718,78.24048360000043,9.13982791900635,56.95515320334284,0.0654596100278551,1,1,0
YP_009137122.1,UL47,Late,Tegument,693,73.8160020000004,9.286686897277832,57.35860028860054,0.062049062049062,2,1,0
YP_009137123.1,UL48,Late,Tegument/Transactivator,490,54.34477630000017,4.850378227233886,42.745918367347,0.0918367346938775,0,0,0
YP_009137124.1,UL49,Late,Tegument/Major,301,32.253612100000055,10.498756980895994,64.18870431893689,0.0398671096345514,2,0,0
YP_009137125.1,UL49A,Late,Glycoprotein/Entry,91,9.201673799999998,7.6600431442260755,31.68142857142856,0.0329670329670329,3,1,3
YP_009137126.1,UL50,Early,Nucleotide Metabolism,371,39.1273984,7.815131568908692,52.1353099730458,0.0646900269541779,3,1,0
YP_009137127.1,UL51,Late,Tegument/Secondary Envelopment,244,25.43591279999997,5.873138999938964,58.03729508196722,0.0204918032786885,2,0,0
YP_009137128.1,UL52,Early,DNA Replication/Replication Fork,1058,114.42219870000082,6.420555305480956,43.13884688090759,0.0831758034026465,0,2,0
YP_009137129.1,UL53,Late,Glycoprotein/Entry & Fusion,338,37.57218490000001,9.568993949890135,44.26952662721892,0.1035502958579881,3,1,0
YP_009137130.1,UL54,Immediate-Early,RNA Export/Processing,512,55.22244050000005,6.482509803771973,68.6391015625002,0.048828125,2,0,0
YP_009137131.1,UL55,Late,Nuclear Egress,186,20.492349,9.337165641784669,42.35537634408602,0.0806451612903225,1,3,0
YP_009137132.1,UL56,Late,Pathogenicity/Egress,234,25.320207199999984,10.197431755065915,62.843589743589725,0.0683760683760683,2,1,0
YP_009137135.1,RS1,Immediate-Early,Regulatory/Transactivator,1298,132.91152630000067,6.122889518737792,55.9728890600928,0.0477657935285053,2,0,0
YP_009137136.1,US1,Immediate-Early,Regulatory/Transactivator,420,46.52426270000013,6.095265769958496,68.39238095238112,0.0523809523809523,2,0,0
YP_009137137.1,US2,Late,Tegument/Immune Modulation,291,32.47043860000001,8.732129859924317,56.76597938144332,0.0687285223367697,1,1,0
YP_009137138.1,US3,Early,Protein Kinase/Anti-apoptotic,481,52.83396290000008,5.571380805969238,59.48525987526001,0.079002079002079,1,3,0
YP_009137139.1,US4,Late,Glycoprotein/Entry,238,25.23822700000002,5.964933967590333,62.54663865546219,0.0336134453781512,1,3,0
YP_009137140.1,US5,Late,Glycoprotein/Immune Evasion,92,9.556200799999996,9.149046897888184,57.74565217391303,0.0543478260869565,3,1,0
YP_009137141.1,US6,Late,Glycoprotein/Primary Receptor Binding,394,43.31633480000004,7.63781909942627,59.56347715736046,0.0837563451776649,1,3,0
YP_009137142.1,US7,Late,Glycoprotein/Cell-to-Cell Spread,390,41.36903650000003,9.048218345642091,61.52435897435901,0.0564102564102564,1,3,0
YP_009137143.1,US8,Late,Glycoprotein/Cell-to-Cell Spread,550,59.0929647000002,5.7376916885375975,58.51745454545473,0.069090909090909,1,1,0
YP_009137144.1,US8A,Late,Tegument/Membrane,159,16.802000499999984,9.499754905700684,53.40440251572326,0.0566037735849056,2,1,0
YP_009137145.1,US9,Late,Tegument/Anterograde Transport,90,10.026505799999995,9.816681480407713,95.54444444444442,0.0666666666666666,2,0,1
YP_009137146.1,US10,Late,Tegument,312,34.05531630000002,9.236014747619633,57.3628205128205,0.0737179487179487,1,3,0
YP_009137147.1,US11,Late,RNA-binding/PKR Antagonist,161,17.75686659999998,11.74370594024658,50.347204968944105,0.0062111801242236,2,0,2
YP_009137148.1,US12,Immediate-Early,Immune Evasion,88,9.792904099999989,8.375619697570801,57.14999999999998,0.034090909090909,2,0,0
